,precision,recall,f1-score,support
0,0.32075471698113206,0.3617021276595745,0.34,47.0
1,0.0,0.0,0.0,42.0
2,0.4563106796116505,0.7014925373134329,0.5529411764705883,67.0
accuracy,--,--,0.41025641025641024,156.0
macro avg,0.25902179886426085,0.3543982216576691,0.29764705882352943,156.0
weighted avg,0.2926172258467551,0.41025641025641024,0.3399170437405732,156.0
