,precision,recall,f1-score,support
0,0.32075471698113206,0.1574074074074074,0.2111801242236025,108.0
1,0.43103448275862066,0.6410256410256411,0.5154639175257731,117.0
2,0.4563106796116505,0.44761904761904764,0.451923076923077,105.0
accuracy,--,--,0.4212121212121212,330.0
macro avg,0.4026999597838011,0.41535069868403207,0.39285570622415084,330.0
weighted avg,0.40298534932104296,0.4212121212121212,0.395662590435114,330.0
