,precision,recall,f1-score,support
0,0.2982456140350877,0.14912280701754385,0.19883040935672514,114.0
1,0.4293193717277487,0.656,0.5189873417721519,125.0
2,0.4672897196261682,0.43103448275862066,0.4484304932735426,116.0
accuracy,--,--,0.4197183098591549,355.0
macro avg,0.39828490179633486,0.4120524299253882,0.38874941480080655,355.0
weighted avg,0.39963529279606785,0.4197183098591549,0.3931211876279341,355.0
