,symbol,entry_dt,entry_price,amt,qty,tp,sl,exit_dt,exit_price,exit_type,profit_loss,fees
31,ATOMUSDT,2020-05-01 08:01:00,2.89,50000,-17301.038062283737,-11.56,17.34,2020-05-01 12:00:00,2.874,barclose,276.81660899654,27.074740484429064
32,ATOMUSDT,2020-05-01 12:01:00,2.867,50000,17439.832577607256,17.201999999999998,-11.468,2020-05-01 16:00:00,2.827,barclose,-697.5933031042908,26.811649808161842
33,ATOMUSDT,2020-05-01 16:01:00,2.821,50000,-17724.211272598368,-11.284,16.926000000000002,2020-05-02 00:00:00,2.828,barclose,-124.06947890818279,26.96650124069479
34,ATOMUSDT,2020-05-02 04:01:00,2.839,50000,-17611.835153222964,-11.356,17.034,2020-05-02 08:00:00,2.804,barclose,616.4142303628063,27.16643184219796
35,ATOMUSDT,2020-05-02 12:01:00,2.847,50000,17562.346329469616,17.082,-11.388,2020-05-02 16:00:00,2.859,barclose,210.74815595363557,27.056902002107485
36,ATOMUSDT,2020-05-02 16:01:00,2.863,50000,-17464.198393293747,-11.452,17.178,2020-05-02 20:00:00,2.877,barclose,-244.4987775061088,26.93398533007335
37,ATOMUSDT,2020-05-03 16:01:00,2.762,50000,18102.824040550327,16.572,-11.048,2020-05-03 20:00:00,2.781,barclose,343.95365677045857,27.09286748732802
38,ATOMUSDT,2020-05-04 00:01:00,2.778,50000,17998.560115190783,16.668,-11.112,2020-05-04 20:00:00,2.747,barclose,-557.9553635709168,26.84935205183585
39,ATOMUSDT,2020-05-05 00:01:00,2.76,50000,18115.942028985508,16.56,-11.04,2020-05-05 04:00:00,2.748,barclose,-217.39130434781825,26.94130434782609
40,ATOMUSDT,2020-05-05 04:01:00,2.754,50000,-18155.410312273056,-11.016,16.524,2020-05-05 08:00:00,2.746,barclose,145.24328249818458,27.03921568627451
41,ATOMUSDT,2020-05-05 12:01:00,2.678,50000,18670.649738610904,16.067999999999998,-10.712,2020-05-05 16:00:00,2.677,barclose,-18.670649738608848,26.994958924570575
42,ATOMUSDT,2020-05-05 16:01:00,2.675,50000,-18691.58878504673,-10.7,16.049999999999997,2020-05-05 20:00:00,2.693,barclose,-336.4485981308456,26.90915887850467
43,ATOMUSDT,2020-05-05 20:01:00,2.698,50000,18532.24610822832,16.188,-10.792,2020-05-06 04:00:00,2.711,barclose,240.9191994069663,27.065048183839885
44,ATOMUSDT,2020-05-06 16:01:00,2.694,50000,18559.762435040833,16.164,-10.776,2020-05-06 20:00:00,2.69,barclose,-74.2390497401634,26.979955456570156
45,ATOMUSDT,2020-05-06 20:01:00,2.686,50000,-18615.040953090098,-10.744,16.116,2020-05-07 00:00:00,2.625,barclose,1135.5174981384948,27.306589724497393
46,ATOMUSDT,2020-05-07 00:01:00,2.617,50000,19105.846388995033,15.702,-10.468,2020-05-07 16:00:00,2.651,barclose,649.5987772258275,27.175391669850974
47,ATOMUSDT,2020-05-07 16:01:00,2.654,50000,-18839.48756593821,-10.616,15.924,2020-05-08 00:00:00,2.729,barclose,-1412.961567445369,26.61850037678975
48,ATOMUSDT,2020-05-08 00:01:00,2.73,50000,18315.018315018315,16.38,-10.92,2020-05-08 04:00:00,2.753,barclose,421.24542124542364,27.113736263736264
