,precision,recall,f1-score,support
0,0.4643203099773975,0.5442846328538986,0.5011326014985188,2642.0
1,0.0,0.0,0.0,1155.0
2,0.48272884283246975,0.6045421773612113,0.5368117797695263,2774.0
accuracy,--,--,0.47405265560797444,6571.0
macro avg,0.3156830509366224,0.3829422700717033,0.3459814604226817,6571.0
weighted avg,0.3904769546458005,0.4740526556079745,0.4281096043585075,6571.0
