,precision,recall,f1-score,support
0,0.5265855221012171,0.6026392961876833,0.5620512820512821,1364.0
1,0.0,0.0,0.0,539.0
2,0.5306712962962963,0.6616161616161617,0.5889531149646756,1386.0
accuracy,--,--,0.5287321374277896,3289.0
macro avg,0.35241893946583785,0.421418485934615,0.3836681323386526,3289.0
weighted avg,0.44201066245446236,0.5287321374277896,0.4812791018726024,3289.0
