,precision,recall,f1-score,support
0,0.6392902408111534,0.9261843554902681,0.7564487102579485,2723.0
1,0.6066536203522505,0.1788805539526832,0.2762923351158645,1733.0
accuracy,--,--,0.6355475763016158,4456.0
macro avg,0.6229719305817019,0.5525324547214756,0.5163705226869064,4456.0
weighted avg,0.6265974079441698,0.6355475763016158,0.5697092582558768,4456.0
