,precision,recall,f1-score,support
0,0.6612587412587413,0.8703976435935199,0.7515498330948975,2716.0
1,0.6004540295119183,0.3040229885057471,0.4036627241510874,1740.0
accuracy,--,--,0.6492369838420108,4456.0
macro avg,0.6308563853853297,0.5872103160496335,0.5776062786229925,4456.0
weighted avg,0.6375154292211578,0.6492369838420108,0.6157052259220452,4456.0
