,precision,recall,f1-score,support
0,0.4117647058823529,0.6086956521739131,0.4912280701754386,23.0
1,0.0,0.0,0.0,21.0
2,0.41379310344827586,0.631578947368421,0.5,19.0
accuracy,--,--,0.4126984126984127,63.0
macro avg,0.27518593644354294,0.41342486651411137,0.3304093567251462,63.0
weighted avg,0.27512154287002155,0.4126984126984127,0.3301308827624617,63.0
