,precision,recall,f1-score,support
0,0.2982456140350877,0.3541666666666667,0.3238095238095238,48.0
1,0.0,0.0,0.0,43.0
2,0.4672897196261682,0.684931506849315,0.5555555555555556,73.0
accuracy,--,--,0.40853658536585363,164.0
macro avg,0.255178444553752,0.34636605783866053,0.2931216931216931,164.0
weighted avg,0.2952923110146006,0.40853658536585363,0.34206349206349207,164.0
