date,PnL,win,winrate,running_bal,peaks,drawdown
2024-07-01,3026.51106889,1.0,1.0,160960.36133465002,160960.36133465002,0.0
2024-07-02,557.29205969,1.0,1.0,161517.65339434004,161517.65339434004,0.0
2024-07-03,-697.2320716500001,0.0,0.6666666666666666,160820.42132269003,161517.65339434004,-0.004316754589962632
2024-07-04,-15566.3673775,0.0,0.5,145254.05394519004,161517.65339434004,-0.10069239558256185
2024-07-05,-12426.51537888,0.0,0.4,132827.53856631002,161517.65339434004,-0.17762835346538902
2024-07-06,-1989.74454013,0.0,0.3333333333333333,130837.79402618002,161517.65339434004,-0.18994740651200615
2024-07-07,1262.65180985,1.0,0.42857142857142855,132100.44583603003,161517.65339434004,-0.182129983565876
2024-07-08,253.46941002,1.0,0.5,132353.91524605005,161517.65339434004,-0.18056068507315226
2024-07-09,-156.78844006,0.0,0.4444444444444444,132197.12680599003,161517.65339434004,-0.1815314052190005
2024-07-10,84.37798989,1.0,0.5,132281.50479588003,161517.65339434004,-0.18100899798909856
2024-07-11,-107.45434001,0.0,0.45454545454545453,132174.05045587002,161517.65339434004,-0.18167427721865537
2024-07-12,-522.88199998,0.0,0.4166666666666667,131651.16845589003,161517.65339434004,-0.1849115827948043
2024-07-13,59.28220987,1.0,0.46153846153846156,131710.45066576003,161517.65339434004,-0.1845445504077917
2024-07-14,-257.24448998,0.0,0.42857142857142855,131453.20617578004,161517.65339434004,-0.18613722145379763
2024-07-15,-516.6537999,0.0,0.4,130936.55237588004,161517.65339434004,-0.1893359665385755
2024-07-16,-92.97627003000001,0.0,0.375,130843.57610585004,161517.65339434004,-0.18991160807419766
2024-07-17,33.32560995999999,1.0,0.4117647058823529,130876.90171581003,161517.65339434004,-0.18970528010162221
2024-07-18,232.93564995,1.0,0.4444444444444444,131109.83736576003,161517.65339434004,-0.18826311173763977
2024-07-19,156.46042003000002,1.0,0.47368421052631576,131266.29778579003,161517.65339434004,-0.1872944224535774
2024-07-20,144.38929000000002,1.0,0.5,131410.68707579002,161517.65339434004,-0.18640046883943304
2024-07-21,25.268022959999996,1.0,0.5238095238095238,131435.95509875004,161517.65339434004,-0.18624402759335862
2024-07-22,154.97408997,1.0,0.5454545454545454,131590.92918872004,161517.65339434004,-0.18528454058551044
2024-07-23,185.02540997,1.0,0.5652173913043478,131775.95459869003,161517.65339434004,-0.1841389976304115
2024-07-24,-19.87051,0.0,0.5416666666666666,131756.08408869003,161517.65339434004,-0.184262021396436
2024-07-25,-348.21948295,0.0,0.52,131407.86460574003,161517.65339434004,-0.18641794352403046
2024-07-26,24.46266999,1.0,0.5384615384615384,131432.32727573003,161517.65339434004,-0.18626648843862087
2024-07-27,117.07251991,1.0,0.5555555555555556,131549.39979564003,161517.65339434004,-0.18554166042478037
2024-07-28,-0.07332950000000205,0.0,0.5357142857142857,131549.32646614005,161517.65339434004,-0.18554211442778526
2024-07-29,-40.71705148000001,0.0,0.5172413793103449,131508.60941466002,161517.65339434004,-0.1857942048378695
2024-07-30,-10.565131079999999,0.0,0.5,131498.04428358003,161517.65339434004,-0.18585961645609175
2024-07-31,48.271054119999995,1.0,0.5161290322580645,131546.31533770004,161517.65339434004,-0.18556075714811163
2024-08-01,16.444167889999996,1.0,0.53125,131562.75950559005,161517.65339434004,-0.18545894680388966
2024-08-02,213.43891795000002,1.0,0.5454545454545454,131776.19842354005,161517.65339434004,-0.18413748804402955
2024-08-03,-191.59315,0.0,0.5294117647058824,131584.60527354004,161517.65339434004,-0.18532369367526313
2024-08-04,122.54412999,1.0,0.5428571428571428,131707.14940353003,161517.65339434004,-0.1845649894258224
2024-08-05,-932.9056687,0.0,0.5277777777777778,130774.24373483003,161517.65339434004,-0.1903408637596473
2024-08-06,564.09997474,1.0,0.5405405405405406,131338.34370957004,161517.65339434004,-0.18684836642028357
